id,state,c_code,country,crop,year,harv_area_ha,yield,production_ha,statearea_ha,perimeter_km,lon,lat
"34245,Ribaue,MOZ,Mozambique,""Rice, Paddy"",2000,468.000000000000000,0.649572649570000,304.000000000000000,644172.1790000000,406.0220000000,38.5924606790,-14.9872288150"
"34246,Ribaue,MOZ,Mozambique,""Rice, Paddy"",2000,468.000000000000000,0.649572649570000,304.000000000000000,644172.1790000000,406.0220000000,38.6389652720,-14.9873072240"
"34247,Ribaue,MOZ,Mozambique,""Rice, Paddy"",2000,468.000000000000000,0.649572649570000,304.000000000000000,644172.1790000000,406.0220000000,38.6854701200,-14.9873761440"
"34248,Ribaue,MOZ,Mozambique,""Rice, Paddy"",2000,468.000000000000000,0.649572649570000,304.000000000000000,644172.1790000000,406.0220000000,38.7319751900,-14.9874355760"
"34506,Ribaue,MOZ,Mozambique,""Rice, Paddy"",2000,468.000000000000000,0.649572649570000,304.000000000000000,644172.1790000000,406.0220000000,37.7551974990,-15.0293907960"
"34507,Ribaue,MOZ,Mozambique,""Rice, Paddy"",2000,468.000000000000000,0.649572649570000,304.000000000000000,644172.1790000000,406.0220000000,37.8017016480,-15.0296407060"
"34508,Ribaue,MOZ,Mozambique,""Rice, Paddy"",2000,468.000000000000000,0.649572649570000,304.000000000000000,644172.1790000000,406.0220000000,37.8482066450,-15.0298811070"
"34509,Ribaue,MOZ,Mozambique,""Rice, Paddy"",2000,468.000000000000000,0.649572649570000,304.000000000000000,644172.1790000000,406.0220000000,37.8947124550,-15.0301119980"
"34510,Ribaue,MOZ,Mozambique,""Rice, Paddy"",2000,468.000000000000000,0.649572649570000,304.000000000000000,644172.1790000000,406.0220000000,37.9412190480,-15.0303333780"
"34511,Ribaue,MOZ,Mozambique,""Rice, Paddy"",2000,468.000000000000000,0.649572649570000,304.000000000000000,644172.1790000000,406.0220000000,37.9877263890,-15.0305452480"
"34512,Ribaue,MOZ,Mozambique,""Rice, Paddy"",2000,468.000000000000000,0.649572649570000,304.000000000000000,644172.1790000000,406.0220000000,38.0342344450,-15.0307476060"
"34513,Ribaue,MOZ,Mozambique,""Rice, Paddy"",2000,468.000000000000000,0.649572649570000,304.000000000000000,644172.1790000000,406.0220000000,38.0807431850,-15.0309404510"
"34514,Ribaue,MOZ,Mozambique,""Rice, Paddy"",2000,468.000000000000000,0.649572649570000,304.000000000000000,644172.1790000000,406.0220000000,38.1272525750,-15.0311237830"
"34515,Ribaue,MOZ,Mozambique,""Rice, Paddy"",2000,468.000000000000000,0.649572649570000,304.000000000000000,644172.1790000000,406.0220000000,38.1737625820,-15.0312976010"
"34516,Ribaue,MOZ,Mozambique,""Rice, Paddy"",2000,468.000000000000000,0.649572649570000,304.000000000000000,644172.1790000000,406.0220000000,38.2202731730,-15.0314619050"
"34517,Ribaue,MOZ,Mozambique,""Rice, Paddy"",2000,468.000000000000000,0.649572649570000,304.000000000000000,644172.1790000000,406.0220000000,38.2667843160,-15.0316166950"
