alloc_key,NAME,lon,lat,statearea,maize,tavg,srad,prec,wind,PHIHOX,BDRICM,BLD,CLYPPT,TEXMHT,ORCDRC,DRAINFAO,EVI,NDVI,slope,elevation
8340,Cuamba,36.409796675900004,-14.7922115348,488095.4937524157,28471.0,23.983332,16937.5,82.0,1.6,59.0,117.0,1350.0,26.0,6.0,13.0,3.0,0.2848,0.47440000000000004,0.1426636,583.0
8343,Cuamba,36.6883247852,-14.7951733266,488095.4937524157,28471.0,23.949999,16941.334,80.75,1.3,61.0,94.0,1390.0,22.0,6.0,13.0,5.0,0.2606,0.4818,4.4272857,593.0
8480,Cuamba,36.408720804,-14.882532146800001,488095.4937524157,28471.0,23.800001,16887.834,84.166664,1.4,58.0,132.0,1320.0,28.0,6.0,15.0,3.0,0.2821,0.4929,0.2780504,623.0
8902,Cuamba,36.5914387467,-15.155552475799999,488095.4937524157,28471.0,23.383333,16883.916,93.583336,1.3,58.0,125.0,1320.0,19.0,9.0,15.0,4.0,0.2927,0.47900000000000004,0.84536135,607.0
15444,Sussundenga,32.9278839415,-19.3154100332,731163.253323076,22904.0,20.591665,18783.0,80.0,1.7,60.0,144.0,1400.0,9.0,11.0,9.0,5.0,0.301,0.5162,1.9070965,768.0
15585,Sussundenga,33.019260253,-19.4084268968,731163.253323076,22904.0,20.991667,18792.416,82.083336,1.8,59.0,160.0,1310.0,13.0,9.0,13.0,5.0,0.3413,0.6395000000000001,1.4388785,718.0
15588,Sussundenga,33.303518053000005,-19.4175940702,731163.253323076,22904.0,21.591667,18426.584,91.0,1.7,61.0,129.0,1370.0,15.0,9.0,11.0,5.0,0.2896,0.4993,0.5425695,582.0
15724,Sussundenga,32.9211852423,-19.4951351628,731163.253323076,22904.0,20.691666,18523.584,82.416664,1.8,59.0,129.0,1310.0,12.0,9.0,10.0,5.0,0.3119,0.5143,1.211024,879.0
15864,Sussundenga,32.9178079586,-19.584995555,731163.253323076,22904.0,19.858332,18512.25,82.416664,1.8,59.0,138.0,1230.0,19.0,9.0,13.0,5.0,0.34850000000000003,0.6322,3.3069046,905.0
16014,Sussundenga,33.863927568200005,-19.704625066600002,731163.253323076,22904.0,24.383331,17980.666,77.416664,1.5,63.0,142.0,1330.0,29.0,6.0,20.0,4.0,0.2919,0.6273000000000001,0.4055958,125.0
15038,Nhamatanda,34.2625192425,-19.084706769100002,405001.1811421537,14269.0,25.1,17615.0,83.0,1.4,64.0,167.0,1400.0,24.0,6.0,10.0,3.0,0.35850000000000004,0.611,0.09045622,50.0
15178,Nhamatanda,34.2599449412,-19.1747717682,405001.1811421537,14269.0,25.224998,17574.166,83.166664,1.4,65.0,153.0,1370.0,29.0,6.0,11.0,3.0,0.3274,0.5850000000000001,0.08183168,48.0
15735,Nhamatanda,33.964595018400004,-19.5272883851,405001.1811421537,14269.0,24.125,17866.75,82.166664,1.5,64.0,142.0,1410.0,18.0,9.0,19.0,5.0,0.41850000000000004,0.7344,0.40555242,172.0
15317,Nhamatanda,34.1625275036,-19.2623457371,405001.1811421537,14269.0,24.866667,17744.5,82.166664,1.4,64.0,107.0,1380.0,18.0,9.0,14.0,5.0,0.3642,0.6133000000000001,0.6594881,118.0
15457,Nhamatanda,34.1598726552,-19.3523957565,405001.1811421537,14269.0,24.858335,17708.916,81.333336,1.4,66.0,135.0,1360.0,22.0,6.0,16.0,3.0,0.3914,0.6443,0.15458144,65.0
15458,Nhamatanda,34.254752877899996,-19.354898109,405001.1811421537,14269.0,25.091665,17638.5,82.666664,1.6,64.0,147.0,1400.0,26.0,6.0,14.0,3.0,0.38170000000000004,0.5982000000000001,0.12295928,39.0
15459,Nhamatanda,34.349647648099996,-19.3573513306,405001.1811421537,14269.0,25.224998,17581.166,85.166664,1.6,65.0,151.0,1420.0,28.0,6.0,11.0,3.0,0.3784,0.614,0.11593621,22.0
15599,Nhamatanda,34.347081698800004,-19.4474249678,405001.1811421537,14269.0,25.183332,17503.584,85.916664,1.6,65.0,151.0,1320.0,29.0,6.0,17.0,2.0,0.3655,0.6458,0.09062185,17.0
15877,Nhamatanda,34.1518189512,-19.6225383419,405001.1811421537,14269.0,24.449999,17738.834,82.666664,1.6,62.0,159.0,1400.0,24.0,6.0,20.0,3.0,0.45080000000000003,0.7659,0.4261094,83.0
6530,Maua,37.3469958179,-13.625833218299999,911721.1094710254,1500.0,22.775002,16963.75,90.666664,1.7,59.0,105.0,1380.0,19.0,9.0,11.0,5.0,0.3129,0.5804,0.9621166,841.0
6808,Maua,37.160769916999996,-13.8052861225,911721.1094710254,1500.0,23.566666,17021.084,86.416664,1.7,61.0,112.0,1310.0,19.0,9.0,13.0,5.0,0.32080000000000003,0.6174000000000001,2.1085815,721.0
24405,Manhica,32.7730243835,-25.0676448165,215798.9915787454,45340.0,23.366663,16866.75,68.5,1.9,62.0,170.0,1410.0,30.0,6.0,23.0,4.0,0.3085,0.5275000000000001,0.07729086,22.0
24406,Manhica,32.8716004694,-25.0717628407,215798.9915787454,45340.0,23.375,16956.666,72.0,2.0,62.0,162.0,1340.0,32.0,6.0,39.0,3.0,0.4413,0.6728000000000001,0.1439525,20.0
24547,Manhica,32.9657727894,-25.1656231837,215798.9915787454,45340.0,23.216667,16833.5,77.083336,2.2,65.0,175.0,1290.0,29.0,6.0,15.0,2.0,0.3129,0.5662,0.0937366,13.0
24965,Manhica,32.7546210771,-25.4267292635,215798.9915787454,45340.0,23.041666,16742.084,70.083336,2.6,62.0,168.0,1320.0,10.0,11.0,16.0,5.0,0.3372,0.5482,0.47061005,40.0
24966,Manhica,32.8534839824,-25.430914465500003,215798.9915787454,45340.0,23.041666,16763.916,72.416664,2.8,62.0,165.0,1340.0,34.0,4.0,50.0,2.0,0.4207,0.6606000000000001,0.11532176,8.0
25104,Manhica,32.6510517498,-25.5122274963,215798.9915787454,45340.0,22.866667,16559.916,68.333336,2.6,60.0,156.0,1360.0,8.0,11.0,13.0,5.0,0.3235,0.4852,0.56861615,55.0
8085,Mecuburi,38.7324192224,-14.625784319300001,784656.320010242,10629.0,23.966667,17499.334,90.666664,1.3,62.0,139.0,1410.0,11.0,11.0,6.0,5.0,0.317,0.5006,0.31416863,520.0
8504,Mecuburi,38.639116326199996,-14.8968962842,784656.320010242,10629.0,23.574999,17473.084,92.75,1.2,61.0,136.0,1400.0,12.0,9.0,9.0,5.0,0.2921,0.5497000000000001,0.76071376,584.0
8505,Mecuburi,38.7320873312,-14.8970238274,784656.320010242,10629.0,23.550001,17571.666,93.333336,1.3,60.0,113.0,1380.0,12.0,9.0,8.0,5.0,0.3457,0.5800000000000001,0.9738169,593.0
7390,Mecuburi,39.196308870900005,-14.173772834200001,784656.320010242,10629.0,25.275002,17584.0,86.916664,1.2,63.0,109.0,1370.0,23.0,6.0,11.0,5.0,0.29700000000000004,0.556,0.9993466,327.0
7525,Mecuburi,38.732851226,-14.264121843900002,784656.320010242,10629.0,25.099998,17414.584,86.083336,1.2,60.0,128.0,1370.0,23.0,6.0,16.0,4.0,0.3224,0.5812,0.37712878,355.0
7947,Mecuburi,38.9181662794,-14.5355080876,784656.320010242,10629.0,24.191666,17649.416,89.416664,1.2,63.0,140.0,1400.0,15.0,9.0,8.0,5.0,0.2998,0.4787,0.60996675,491.0
8226,Mecuburi,38.8252040641,-14.7162868849,784656.320010242,10629.0,24.199999,17631.75,90.25,1.2,62.0,156.0,1390.0,13.0,9.0,6.0,5.0,0.5053,0.7581,1.5563529,497.0
8368,Mecuburi,39.0109992589,-14.806766709100001,784656.320010242,10629.0,23.925001,17846.5,91.5,1.3,61.0,137.0,1390.0,14.0,9.0,9.0,5.0,0.334,0.5543,0.35517597,494.0
8506,Mecuburi,38.8250590924,-14.8971136554,784656.320010242,10629.0,23.583334,17656.0,94.25,1.2,59.0,104.0,1350.0,14.0,9.0,10.0,5.0,0.35850000000000004,0.5917,0.591829,576.0
8510,Mecuburi,39.196948451,-14.8970957994,784656.320010242,10629.0,24.191666,18231.916,89.916664,1.2,63.0,128.0,1440.0,14.0,9.0,9.0,5.0,0.3623,0.5355,0.08702259,423.0
18545,Govuro,34.8667673225,-21.353894899100002,378857.8285910845,3110.0,23.516668,17585.334,71.916664,2.3,61.0,163.0,1390.0,27.0,6.0,12.0,3.0,0.42210000000000003,0.7037,0.20245382,64.0
8238,Monapo,39.9399042936,-14.714446715,352331.2851569628,12845.0,24.483332,18263.166,80.416664,1.2,64.0,125.0,1440.0,19.0,9.0,10.0,5.0,0.3275,0.549,1.4825448,246.0
8378,Monapo,39.940292668699996,-14.8048486504,352331.2851569628,12845.0,24.5,18359.75,79.75,1.2,64.0,141.0,1420.0,17.0,9.0,12.0,5.0,0.32070000000000004,0.5779000000000001,1.1227127,208.0
8522,Monapo,40.3124959984,-14.8934221712,352331.2851569628,12845.0,25.491667,18614.416,77.25,1.5,63.0,125.0,1420.0,21.0,6.0,15.0,5.0,0.2518,0.4324,0.845251,61.0
10893,Moma,39.4794314347,-16.4335493406,548859.2575028415,6719.0,25.29167,18556.084,90.5,2.0,63.0,141.0,1420.0,19.0,9.0,15.0,5.0,0.39590000000000003,0.6224000000000001,0.5410203,91.0
10894,Moma,39.573097353099996,-16.433314441900002,548859.2575028415,6719.0,25.66667,18583.166,89.833336,2.0,63.0,136.0,1350.0,21.0,6.0,15.0,4.0,0.38220000000000004,0.6646000000000001,0.65088785,17.0
11169,Moma,39.104854080100004,-16.6148698632,548859.2575028415,6719.0,25.341667,18227.834,93.833336,2.1,63.0,146.0,1420.0,10.0,9.0,10.0,5.0,0.3264,0.5092,1.0629914,55.0
11173,Moma,39.4798776939,-16.6143422813,548859.2575028415,6719.0,25.283333,18506.75,92.333336,2.5,63.0,150.0,1380.0,19.0,9.0,14.0,5.0,0.2952,0.4544,0.5428943,111.0
11309,Moma,39.1049032941,-16.7052681864,548859.2575028415,6719.0,25.433334,18213.166,94.166664,2.2,62.0,139.0,1400.0,12.0,9.0,11.0,4.0,0.3034,0.5257000000000001,0.41879582,40.0
11312,Moma,39.3863044285,-16.7049340312,548859.2575028415,6719.0,25.591667,18706.5,87.166664,2.6,64.0,152.0,1420.0,17.0,9.0,14.0,4.0,0.23820000000000002,0.3784,3.7768025,58.0
8377,Muecate,39.8473709305,-14.805209057799999,391812.4099199256,824.0,24.525,18332.584,81.666664,1.2,63.0,125.0,1410.0,24.0,6.0,11.0,5.0,0.40690000000000004,0.6329,0.41884544,258.0
8094,Muecate,39.5681242839,-14.625245423800001,391812.4099199256,824.0,24.425001,18122.084,85.916664,1.1,61.0,131.0,1420.0,14.0,9.0,9.0,5.0,0.40090000000000003,0.6315000000000001,0.56446445,380.0
8376,Muecate,39.7544468046,-14.805532007,391812.4099199256,824.0,24.574999,18318.334,83.416664,1.2,62.0,129.0,1400.0,21.0,6.0,11.0,5.0,0.46540000000000004,0.7311000000000001,1.0346453,291.0
9921,Mongincual,40.2248070319,-15.797823745599999,415944.6303396385,3809.0,25.316666,19365.166,81.0,2.4,61.0,150.0,1420.0,18.0,9.0,16.0,5.0,0.32,0.5297000000000001,0.5312872,76.0
7758,Angonia,34.3772539919,-14.399787412,282167.6502335962,37275.0,17.9,17187.584,85.583336,2.0,60.0,141.0,1390.0,19.0,9.0,14.0,5.0,0.21100000000000002,0.38330000000000003,1.6069356,1517.0
7893,Angonia,33.9130722076,-14.480335952599999,282167.6502335962,37275.0,19.675001,17301.5,80.583336,1.3,60.0,111.0,1360.0,15.0,9.0,11.0,5.0,0.2672,0.5036,0.63858026,1242.0
7894,Angonia,34.0055080768,-14.482322586099999,282167.6502335962,37275.0,19.558332,17270.666,80.666664,1.3,62.0,142.0,1340.0,23.0,6.0,17.0,5.0,0.1971,0.4126,1.0243014,1285.0
7895,Angonia,34.0979578735,-14.4842731352,282167.6502335962,37275.0,19.275,17250.5,80.666664,1.4,59.0,133.0,1370.0,17.0,9.0,16.0,5.0,0.2414,0.49820000000000003,2.1539388,1312.0
7897,Angonia,34.28289823,-14.4880658817,282167.6502335962,37275.0,19.083332,17225.5,80.583336,2.0,60.0,125.0,1300.0,21.0,6.0,14.0,5.0,0.22690000000000002,0.44470000000000004,3.1124706,1351.0
7898,Angonia,34.3753882796,-14.489908030999999,282167.6502335962,37275.0,18.716667,17269.75,81.75,1.9,60.0,119.0,1330.0,24.0,6.0,15.0,5.0,0.19590000000000002,0.4076,0.19731678,1393.0
