Pixel,lat,lon,State,Fraction,MaizeArea
248921,-14.38638,38.57796,Mecuburi,0.02104155,1.723302945
248922,-15.49726,38.16557,Gile,0.01254458,1.027401102
248923,-11.95281,34.99393,Lago,0.13622764,11.15704372
250194,-14.54548,36.52693,Cuamba,0.03327448,2.725179912
250195,-14.90886,37.97265,Ribaue,0.04048029,3.315335751
250196,-15.12631,30.8938,Zumbu,0.01151183,0.942818877
250197,-14.05652,36.42122,Maua,0.01346707,1.102953033
250198,-14.51281,38.50347,Lalaua,0.00434814,0.356112666
251376,-16.94305,35.54086,Morrumbala,0.04189524,3.431220156
251377,-14.94533,30.84537,Zumbu,0.01978581,1.620457839
251378,-17.82903,35.13788,Caia,0.00918913,0.752589747
251379,-14.73671,36.67331,Cuamba,0.43731349,35.81597483
251380,-15.3349,39.73132,Meconta,0.00873642,0.715512798
251381,-17.9863,34.88937,Caia,0.07695666,6.302750454
251382,-16.35684,39.59456,Moma,0.00214943,0.176038317
251383,-13.97433,36.33888,Maua,0.00926476,0.758783844
251384,-16.33959,39.02341,Moma,0.00738043,0.604457217
251385,-22.39095,34.3551,Funhalouro,0.00386244,0.316333836
251386,-18.30538,34.25887,Gorongosa,0.11514242,9.430164198
251467,-14.85219,40.47317,Mossuril,0.04271164,3.498083316
251468,-14.52748,40.35964,Nacala_Velha,0.00145766,0.119382354
251469,-16.90664,35.52278,Morrumbala,0.00179396,0.146925324
251470,-17.51752,34.48652,Maringue,0.00557978,0.456983982
251471,-14.99559,40.65082,Mossuril,1.09714549,89.85621563
251472,-15.89462,38.07054,Alto_Molocue,0.02412868,1.976138892
252629,-18.06943,34.98174,Caia,0.00215496,0.176491224
252630,-15.4438,39.59189,Meconta,0.01329651,1.088984169
252631,-14.8088,40.15697,Monapo,0.01195256,0.978914664
252632,-15.19582,40.4476,Mossuril,0.03362151,2.753601669
252633,-21.80873,34.82791,Inhassoro,0.0639941,5.24111679
252634,-17.90004,34.26978,Maringue,0.00058674,0.048054006
252635,-14.21496,38.99537,Mecuburi,0.02562059,2.098326321
252636,-14.80871,37.82445,Malema,0.00651146,0.533288574
252637,-12.82811,34.99892,Lago,0.07179199,5.879763981
252638,-15.92704,37.42585,Ile,0.06943517,5.686740423
252639,-14.54934,39.27383,Mecuburi,0.06298879,5.158781901
252640,-16.07593,39.79941,Angoche,0.00048476,0.039701844
252641,-15.83764,37.56659,Alto_Molocue,0.00187604,0.153647676
252642,-14.64434,36.47943,Cuamba,0.07606302,6.229561338
252643,-14.70989,40.04499,Monapo,0.00751681,0.615626739
252644,-14.58161,36.52652,Cuamba,0.01399091,1.145855529
252645,-18.14013,34.5085,Maringue,0.01776245,1.454744655
252646,-16.99943,38.8262,Pebane,0.01313448,1.075713912
252647,-14.71197,38.64236,Mecuburi,0.04205811,3.444559209
252648,-16.11202,38.18174,Gile,0.00903816,0.740225304
252649,-17.0624,35.66066,Morrumbala,0.00979704,0.802377576
252650,-17.36413,35.89965,Morrumbala,0.03980123,3.259720737
252651,-17.19031,35.23586,Mutarara,0.00233434,0.191182446
252652,-15.82415,39.24747,Mogovolas,0.0093465,0.76547835
252653,-24.28431,34.09201,Panda,0.00419616,0.343665504
252654,-14.88165,40.04582,Monapo,0.00632464,0.517988016
252655,-14.17878,38.92123,Mecuburi,0.0022238,0.18212922
252656,-14.49997,40.42442,Nacala_Velha,0.00188443,0.154334817
252657,-14.94116,40.67829,Mossuril,0.00584003,0.478298457
252658,-18.28069,34.74087,Maringue,0.00093758,0.076787802
252659,-12.71181,35.06509,Lago,0.00578674,0.473934006
252660,-22.15877,34.12091,Mabote,0.01949928,1.596991032
252661,-14.43714,40.34982,Nacala_Velha,0.00999729,0.818778051
252662,-13.94127,40.08772,Memba,0.00433098,0.354707262
252667,-18.30142,34.8631,Cheringoma,0.00029929,0.024511851
252693,-16.34742,39.71624,Angoche,0.00363024,0.297316656
252740,-16.85283,38.08476,Pebane,0.0089304,0.73139976
252741,-14.80264,39.11617,Mecuburi,0.00406818,0.333183942
252742,-17.85455,34.25216,Maringue,0.00433828,0.355305132
252743,-12.49596,35.1143,Lago,0.00235742,0.193072698
252744,-16.61002,38.43279,Pebane,0.0115746,0.94795974
252745,-17.84262,36.53262,Mopeia,0.08460296,6.928982424
252746,-14.59101,35.8123,Mecanhelas,0.09171043,7.511084217
252747,-19.53161,34.63294,Dondo,0.04431941,3.629759679
253895,-17.99532,34.88916,Caia,0.07099879,5.814800901
253896,-14.73588,31.26783,Zumbu,0.0181716,1.48825404
253897,-15.27765,30.38966,Zumbu,0.00085088,0.069687072
253898,-21.80664,33.52525,Mabote,0.01023062,0.837887778
253899,-19.54314,34.03364,Nhamatanda,0.08883226,7.275362094
253900,-23.55906,33.95326,Panda,0.00298209,0.244233171
253901,-21.55655,33.87169,Mabote,0.02978164,2.439116316
253902,-16.60511,34.40558,Mutarara,0.0010388,0.08507772
253903,-21.28146,34.32356,Machanga,0.01346082,1.102441158
253904,-17.42746,35.90799,Morrumbala,0.03594525,2.943915975
253905,-14.82911,36.88596,Malema,0.06133314,5.023184166
253906,-14.32068,35.8532,Mecanhelas,0.00807819,0.661603761
253907,-14.34526,36.39015,Metarica,0.04360779,3.571478001
253908,-23.80191,34.84506,Homoine,0.01397323,1.144407537
253909,-15.22294,40.44779,Mossuril,0.04495796,3.682056924
253910,-19.04705,33.10161,Manica,0.02809845,2.301263055
253911,-15.85772,37.91195,Alto_Molocue,0.00560114,0.458733366
253912,-17.33749,35.9283,Morrumbala,0.00777528,0.636795432
253913,-16.36647,38.67695,Pebane,0.00171024,0.140068656
253914,-16.07641,38.34083,Gile,0.02415043,1.977920217
253915,-15.19131,36.13821,Mecanhelas,0.04687063,3.838704597
253916,-15.24176,40.32689,Mossuril,0.02364265,1.936333035
253917,-14.9004,31.09596,Zumbu,0.04859425,3.979869075
253918,-17.41511,35.70132,Morrumbala,0.06631242,5.430987198
253919,-17.00451,34.95829,Mutarara,0.00028963,0.023720697
253920,-23.83896,34.25591,Panda,0.02803679,2.296213101
253921,-24.17573,35.00011,Homoine,0.0075924,0.62181756
253922,-16.30316,39.34167,Moma,0.28158266,23.06161985
253923,-15.35017,37.66311,Alto_Molocue,0.00611925,0.501166575
253924,-15.17066,40.10307,Monapo,0.13293928,10.88772703
253925,-17.60412,34.33396,Maringue,0.00233025,0.190847475
253926,-16.68192,36.94168,Lugela,0.00273335,0.223861365
253927,-14.43113,39.62623,Muecate,0.00369175,0.302354325
253928,-15.85772,40.08805,Mongincual,0.00296483,0.242819577
253929,-14.76637,39.24623,Mecuburi,0.02850506,2.334564414
253930,-18.27062,34.69391,Maringue,0.01158532,0.948837708
253931,-17.82185,35.23223,Caia,0.04036831,3.306164589
253932,-24.01927,35.23079,Homoine,0.01415677,1.159439463
253933,-16.29437,39.08892,Moma,0.00200197,0.163961343
253934,-23.80682,35.03111,Homoine,0.01419754,1.162778526
253935,-14.73024,39.20903,Mecuburi,0.08940138,7.321973022
253936,-15.40567,35.95843,Mecanhelas,0.01018595,0.834229305
253938,-16.83676,39.10795,Pebane,0.00058949,0.048279231
253939,-16.43687,36.83194,Lugela,0.0280246,2.29521474
253940,-16.09538,39.23845,Moma,0.00391988,0.321038172
254021,-14.06535,36.40261,Maua,0.0010094,0.08266986
255168,-16.66302,35.52721,Morrumbala,0.04754469,3.893910111
255169,-16.64176,35.34036,Morrumbala,0.00239662,0.196283178
255170,-14.91114,38.90237,Mecuburi,0.02003128,1.640561832
255171,-15.50633,39.82515,Mongincual,0.01231087,1.008260253
255172,-16.77351,39.03284,Pebane,0.00248674,0.203664006
255173,-20.78655,34.03236,Chibabava,0.00347736,0.284795784
255174,-15.56077,38.23059,Gile,0.01298299,1.063306881
255175,-12.2619,35.15447,Lago,0.00036273,0.029707587
255176,-14.96771,36.31772,Cuamba,0.04225291,3.460513329
255177,-14.99212,39.43251,Muecate,0.02766481,2.265747939
255178,-16.45619,38.37703,Pebane,0.00254504,0.208438776
255179,-22.02537,33.88392,Mabote,0.01494654,1.224121626
255180,-17.73853,35.61067,Mopeia,0.00056669,0.046411911
255181,-15.13324,40.33552,Mossuril,0.02399004,1.964784276
255182,-15.66941,38.27684,Gile,0.01249257,1.023141483
