Pixel,State,lon,lat,Crop,Fraction,CropArea
41582,Macanga,33.6949,-14.7097,Maize,0.66184264,66.184264
30062,Gondola,33.72275,-19.36725,Maize,1.94090613,194.090613
41457,Macanga,33.69686,-14.62868,Maize,0.06566602,6.566602
23678,Alto_Molocue,37.82638,-15.60829,Maize,0.01595891,1.595891
12187,Mueda,39.54218,-11.23442,Maize,0.18913627,18.913627
28630,Caia,35.36933,-17.88268,Maize,0.18243099,18.243099
17365,Homoine,35.00401,-23.62985,Maize,0.05965977,5.965977
24258,Alto_Molocue,37.79734,-15.78891,Maize,0.25352521,25.352521
34384,Lugela,36.80126,-16.40451,Maize,0.00057173,0.057173
23950,Alto_Molocue,37.77927,-15.68938,Maize,0.04964451,4.964451
41438,Macanga,33.67859,-14.61925,Maize,0.5107647,51.07647
8182,Manhica,32.87871,-25.324,Maize,1.72799306,172.799306
33220,Barue,33.24811,-17.68753,Maize,0.39542586,39.542586
5923,Cuamba,36.65734,-15.08397,Maize,1.27915218,127.915218
10203,Muecate,39.47506,-14.526,Maize,6.45E-05,0.006446
35298,Nampula,39.30883,-15.11396,Maize,0.50325102,50.325102
8119,Manhica,32.8904,-25.28849,Maize,1.99231425,199.231425
20425,Lichinga,35.52221,-13.34521,Maize,0.00375389,0.375389
20685,Lichinga,35.28106,-13.44106,Maize,0.1134073,11.34073
12038,Angonia,34.32244,-14.80439,Maize,1.06973117,106.973117
16419,Moatize,34.15233,-15.75624,Maize,0.48858315,48.858315
15500,Morrumbala,35.34711,-17.58448,Maize,0.00295229,0.295229
1237,N_gauma,35.50545,-13.85953,Maize,2.00E-08,2.00E-06
26926,Ile,37.10769,-15.67556,Maize,0.00035303,0.035303
26468,Ile,37.45012,-16.03073,Maize,0.00055013,0.055013
29536,Sanga,35.22335,-12.99798,Maize,0,0
4932,Cuamba,36.92099,-14.74317,Maize,0.16525447,16.525447
25466,Buzi,34.43904,-19.89149,Maize,0.0767452,7.67452
14516,Morrumbala,35.91662,-17.29626,Maize,0.00604479,0.604479
2794,Maravia,31.43282,-14.94283,Maize,0.19455285,19.455285
6907,Nhamatanda,34.33425,-19.23076,Maize,0.24197139,24.197139
28137,Ile,37.55822,-16.58278,Maize,0.3834719,38.34719
16892,Zumbu,31.05245,-14.75054,Maize,1.89945073,189.945073
39217,Machaze,33.33401,-21.19207,Maize,0.39959132,39.959132
9667,Moma,39.4325,-16.38845,Maize,0.59425953,59.425953
5544,Cuamba,36.53926,-14.8388,Maize,0.03272363,3.272363
27175,Ile,37.1698,-16.02852,Maize,0.00036454,0.036454
16215,Moatize,34.30428,-15.62435,Maize,1.13965098,113.965098
42505,Mutarara,34.62705,-16.60497,Maize,0.08739166,8.739166
18850,Mecanhelas,35.90422,-15.09299,Maize,0.35175643,35.175643
25833,Buzi,34.12773,-20.0995,Maize,0.3425037,34.25037
9900,Moma,39.133,-16.64197,Maize,0.36901182,36.901182
22389,Alto_Molocue,37.7254,-15.3456,Maize,0.38392199,38.392199
23373,Alto_Molocue,37.48199,-15.5158,Maize,0.52115668,52.115668
26616,Ile,37.20653,-16.10112,Maize,0.00686416,0.686416
42173,Mutarara,35.2833,-17.48403,Maize,0.0635592,6.35592
13047,Morrumbala,35.21585,-16.63459,Maize,0.54986028,54.986028
25283,Buzi,33.89444,-19.64243,Maize,0.18925594,18.925594
11490,Angonia,34.41903,-14.61699,Maize,0.02640131,2.640131
38940,Machaze,32.62665,-20.90597,Maize,0.04674813,4.674813
21256,Manica,33.12684,-18.78194,Maize,0.78770965,78.770965
1646,N_gauma,35.47458,-14.0667,Maize,0.42176447,42.176447
43511,Pebane,38.14609,-17.16451,Maize,0.4497526,44.97526
34196,Lugela,36.92559,-16.15279,Maize,0.04398148,4.398148
43657,Chinde,36.14206,-18.48248,Maize,0.44364345,44.364345
17984,Nacala_Velha,40.38379,-14.40489,Maize,0.2323216,23.23216
43383,Pebane,38.40029,-17.05696,Maize,0.03253787,3.253787
36546,Maringue,34.69132,-17.86885,Maize,0.2345807,23.45807
14238,Morrumbala,35.63593,-17.22856,Maize,0.05267394,5.267394
20334,Lichinga,35.48573,-13.31762,Maize,0.62139999,62.139999
17850,Homoine,35.07359,-23.92021,Maize,0.0596317,5.96317
7993,Manhica,32.85679,-25.17012,Maize,1.95046769,195.046769
26653,Ile,37.2531,-16.11958,Maize,0.01038843,1.038843
5905,Cuamba,36.68562,-15.04812,Maize,1.07822364,107.822364
22548,Alto_Molocue,37.55712,-15.43495,Maize,0.25415162,25.415162
12209,Mueda,38.8092,-11.38859,Maize,0.51620978,51.620978
2736,Maravia,31.99121,-14.80805,Maize,0.12405554,12.405554
8240,Manhica,32.73811,-25.36305,Maize,2.05213125,205.213125
2620,Maravia,31.75682,-14.63916,Maize,0.21977544,21.977544
38868,Machaze,32.76157,-20.88399,Maize,0.30581399,30.581399
25798,Buzi,34.73924,-20.07027,Maize,0.34275577,34.275577
17946,Tambara,34.36167,-16.75246,Maize,3.64607599,364.607599
21820,Namarroi,36.84476,-15.8448,Maize,0.00035856,0.035856
8021,Manhica,32.83342,-25.24113,Maize,2.03252657,203.252657
39321,Machaze,32.66563,-21.33916,Maize,0.40090783,40.090783
11009,Angonia,33.95868,-14.50835,Maize,0.00233244,0.233244
19733,Lichinga,35.66098,-13.31096,Maize,6.50E-07,6.50E-05
16743,Moatize,34.17521,-16.35161,Maize,0.20524706,20.524706
8692,Mecuburi,39.18695,-14.06528,Maize,0.74108349,74.108349
4069,Magude,32.69372,-25.07328,Maize,0.18034008,18.034008
20138,Lichinga,35.5418,-13.26423,Maize,0.62757566,62.757566
5234,Cuamba,36.3088,-14.70073,Maize,1.22488021,122.488021
27648,Ile,37.66305,-16.33042,Maize,0.17305548,17.305548
6471,Nhamatanda,34.3493,-19.03284,Maize,0.65574336,65.574336
33113,Barue,33.23341,-18.42522,Maize,0.44843237,44.843237
20030,Lichinga,35.24726,-13.24201,Maize,0.4944988,49.44988
32956,Mopeia,35.65047,-17.96896,Maize,0.07638301,7.638301
25685,Buzi,34.66467,-20.00534,Maize,0.31571764,31.571764
5548,Cuamba,36.39987,-14.8463,Maize,1.13298226,113.298226
24487,Alto_Molocue,37.40461,-15.87676,Maize,0.2047192,20.47192
34954,Cheringoma,35.12553,-18.2569,Maize,0.18157583,18.157583
14008,Morrumbala,35.79681,-17.15897,Maize,0.52503646,52.503646
38713,Machaze,32.79135,-20.85809,Maize,0.07965014,7.965014
32431,Mopeia,35.35597,-17.61172,Maize,0,0
41272,Macanga,33.48716,-14.50673,Maize,0.6742051,67.42051
18383,Mecanhelas,35.65458,-14.40331,Maize,0.36663182,36.663182
536,Ribaue,37.93201,-15.01221,Maize,0.01044638,1.044638
5275,Cuamba,36.54996,-14.71244,Maize,0.1086131,10.86131
11732,Angonia,34.25109,-14.67672,Maize,0.05788442,5.788442
31266,Gurue,36.99337,-15.91851,Maize,2.51E-05,0.002508
26538,Ile,37.19751,-16.0649,Maize,0.00307206,0.307206
25027,Chiuta,33.38155,-15.36854,Maize,0.86524213,86.524213
36465,Maringue,34.46887,-17.72857,Maize,0.04053795,4.053795
35594,Nampula,39.06686,-15.13224,Maize,1.41E-06,0.000141
5198,Cuamba,36.4018,-14.68372,Maize,1.26864346,126.864346
2603,Maravia,31.47166,-14.62109,Maize,0.18966576,18.966576
16613,Moatize,33.83786,-16.0463,Maize,2.70E-05,0.002704
35421,Nampula,39.29034,-15.20439,Maize,0.0877774,8.77774
19124,Mecanhelas,35.89242,-15.26439,Maize,0.15185868,15.185868
32092,Macossa,33.31322,-17.70744,Maize,0.46387241,46.387241
14759,Morrumbala,35.88752,-17.34998,Maize,0.55120281,55.120281
35068,Cheringoma,34.76123,-18.48364,Maize,0.09728519,9.728519
29581,Sanga,35.1952,-13.03367,Maize,0.66606748,66.606748
22188,Namarroi,37.02841,-16.15377,Maize,0.33400315,33.400315
36239,Maringue,34.74951,-17.79799,Maize,0.03642853,3.642853
21994,Namarroi,37.03909,-16.01833,Maize,0.00051581,0.051581
5855,Cuamba,36.5468,-14.99246,Maize,0.35378341,35.378341
17270,Chifunde,33.07118,-14.1636,Maize,0.3713112,37.13112
30806,Gurue,37.0625,-15.52155,Maize,8.55E-05,0.008546
22338,Alto_Molocue,37.71625,-15.31843,Maize,0.04339011,4.339011
43346,Pebane,38.49431,-17.03913,Maize,0.10361117,10.361117
5966,Cuamba,36.21007,-15.16019,Maize,0,0
42077,Mutarara,35.19983,-17.42832,Maize,0.01612318,1.612318
8382,Manhica,32.83325,-25.43906,Maize,2.05228971,205.228971
42383,Mutarara,34.16827,-16.63085,Maize,0.21362431,21.362431
4230,Memba,40.35333,-13.96212,Maize,0.0856442,8.56442
26923,Ile,37.10777,-15.66653,Maize,0.02283604,2.283604
35866,Dondo,34.78378,-19.46714,Maize,0.96117669,96.117669
12242,Mueda,39.52442,-11.54192,Maize,1.42671491,142.671491
1892,Malema,37.01409,-14.71688,Maize,0.63514251,63.514251
17757,Homoine,35.12637,-23.7953,Maize,7.99E-05,0.007988
15326,Morrumbala,35.42377,-17.51369,Maize,0.00814147,0.814147
6876,Nhamatanda,34.34399,-19.222,Maize,0.28907129,28.907129
22732,Alto_Molocue,37.4001,-15.25312,Maize,0.0011921,0.11921
36288,Maringue,34.48479,-17.46747,Maize,0.05934008,5.934008
41596,Macanga,33.65769,-14.71785,Maize,0.5936315,59.36315
24169,Alto_Molocue,37.58284,-15.7605,Maize,0.02279342,2.279342
23379,Alto_Molocue,37.55656,-15.5163,Maize,0.00031881,0.031881
2675,Maravia,31.41458,-14.67306,Maize,0.12151456,12.151456
29081,Mossurize,32.57658,-20.73322,Maize,0.34382142,34.382142
7021,Nhamatanda,34.15278,-19.2711,Maize,0.10346752,10.346752
727,Ribaue,38.08047,-15.09422,Maize,0.10008933,10.008933
9775,Moma,39.52658,-16.55095,Maize,0.00093675,0.093675
4670,Majune,36.10179,-13.46089,Maize,0.67249793,67.249793
29375,Sanga,35.40572,-12.468,Maize,0.39596359,39.596359
1759,Malema,37.78386,-14.89395,Maize,0.18197667,18.197667
9555,Monapo,40.32207,-14.93856,Maize,2.85464603,285.464603
13171,Morrumbala,35.50496,-16.69382,Maize,0.02351842,2.351842
16253,Moatize,34.0803,-15.65549,Maize,1.13158847,113.158847
17812,Homoine,35.14462,-23.84085,Maize,0.00082234,0.082234
12547,Funhalouro,34.40035,-23.2616,Maize,0.07080813,7.080813
14804,Morrumbala,35.51132,-17.36182,Maize,0.27850339,27.850339
26375,Ile,37.20774,-15.96558,Maize,0.17088722,17.088722
38934,Machaze,32.56931,-20.90382,Maize,0.33698897,33.698897
14621,Morrumbala,35.6155,-17.31848,Maize,0.32842367,32.842367
38112,Chibabava,33.84666,-20.23563,Maize,0.27173395,27.173395
31632,Gurue,36.81223,-15.39272,Maize,1.2521666,125.21666
23608,Alto_Molocue,37.70525,-15.58953,Maize,0.00036039,0.036039
28522,Caia,35.36137,-17.81034,Maize,0.94847541,94.847541
33318,Barue,33.28162,-17.81454,Maize,0.62223467,62.223467
1572,N_gauma,35.52135,-14.03128,Maize,0.12779271,12.779271
9152,Mecuburi,38.91809,-14.7525,Maize,0.80024233,80.024233
43558,Chinde,35.97697,-18.18198,Maize,0.30434639,30.434639
38337,Chibabava,33.75842,-20.30507,Maize,0.07960837,7.960837
37936,Tsangano,34.44197,-15.28465,Maize,1.48869131,148.869131
12803,Morrumbala,35.39532,-16.54754,Maize,5.70E-07,5.70E-05
31247,Gurue,37.06833,-15.89209,Maize,0.04313661,4.313661
14338,Morrumbala,35.61666,-17.25532,Maize,0.06419001,6.419001
40793,Maganja_da_Cost,37.82558,-17.29847,Maize,0.14655034,14.655034
24440,Alto_Molocue,37.41409,-15.85875,Maize,0.00048961,0.048961
11928,Angonia,34.3236,-14.75032,Maize,0.05023486,5.023486
13278,Morrumbala,35.35364,-16.77243,Maize,0.1283712,12.83712
25132,Chiuta,33.35639,-15.61099,Maize,1.0813054,108.13054
23167,Alto_Molocue,37.40804,-15.43394,Maize,5.67E-05,0.005668
40210,Maganja_da_Cost,37.1864,-17.24853,Maize,0.32698758,32.698758
24823,Chiuta,33.56114,-15.59816,Maize,0.67611619,67.611619
30116,Gondola,33.58464,-19.52528,Maize,2.09767788,209.767788
40049,Vilanculos,35.25036,-22.51755,Maize,1.30532848,130.532848
9116,Mecuburi,39.00171,-14.69827,Maize,0.35529285,35.529285
38011,Tsangano,34.3659,-15.36422,Maize,0.53345193,53.345193
36808,Cahora_Bassa,32.82318,-15.74053,Maize,0.01704941,1.704941
34757,Chemba,34.89506,-17.18774,Maize,0.46596033,46.596033
31240,Gurue,36.97497,-15.89123,Maize,0,0
43087,Pebane,38.86091,-16.84988,Maize,0.42318142,42.318142
22559,Alto_Molocue,37.55706,-15.44399,Maize,0.4877834,48.77834
39872,Mabote,34.17661,-22.13749,Maize,0.3513691,35.13691
32831,Mopeia,35.55043,-17.77767,Maize,0.4624461,46.24461
5101,Cuamba,36.56025,-14.6222,Maize,0.88346161,88.346161
17565,Homoine,34.99767,-23.8371,Maize,0.05963472,5.963472
28700,Mossurize,32.68939,-20.54852,Maize,0.00084662,0.084662
9787,Moma,39.1142,-16.56063,Maize,0.09033964,9.033964
30901,Gurue,36.8478,-15.5557,Maize,0.38583542,38.583542
29244,Mossurize,32.62089,-20.81582,Maize,0.1112945,11.12945
25079,Chiuta,33.35836,-15.53901,Maize,0.69286335,69.286335
23509,Alto_Molocue,37.66813,-15.56219,Maize,0.51670845,51.670845
27232,Ile,37.15053,-16.09161,Maize,0.0002383,0.02383
12657,Morrumbala,35.2668,-16.41894,Maize,0.00031835,0.031835
31433,Gurue,37.04622,-15.26839,Maize,0,0
42153,Mutarara,35.21769,-17.47377,Maize,0.06450144,6.450144
26397,Ile,37.22626,-15.98381,Maize,0.12607792,12.607792
11711,Angonia,34.42716,-14.67125,Maize,0,0
36500,Maringue,34.45788,-17.79142,Maize,0.18405902,18.405902
25437,Buzi,34.58265,-19.86807,Maize,0.0121124,1.21124
16865,Zumbu,31.19145,-14.7284,Maize,1.70497891,170.497891
19888,Lichinga,35.32149,-13.20699,Maize,0.01117952,1.117952
34654,Chemba,34.5252,-17.35117,Maize,0.00332377,0.332377
35960,Dondo,34.75983,-19.65596,Maize,0.35931327,35.931327
26141,Ile,37.20949,-15.76679,Maize,0.01865076,1.865076
27279,Ile,37.15003,-16.14582,Maize,0.14661366,14.661366
31049,Gurue,37.08022,-15.62111,Maize,0.03915715,3.915715
