id,state,c_code,country,crop,year,harv_area_ha,yield,production_ha,statearea_ha,perimeter_km,lon,lat
"19101",Inhassoro,MOZ,Mozambique,Maize,2000,10757.000000000000000,0.347866505531282,3742.000000000000000,494956.1762066463,478.5306635196,34.5918940261,-21.8489126268
"19102",Inhassoro,MOZ,Mozambique,Maize,2000,10757.000000000000000,0.347866505531282,3742.000000000000000,494956.1762066463,478.5306635196,34.6886313198,-21.8479501976
"19103",Inhassoro,MOZ,Mozambique,Maize,2000,10757.000000000000000,0.347866505531282,3742.000000000000000,494956.1762066463,478.5306635196,34.7853631077,-21.8469310697
"19104",Inhassoro,MOZ,Mozambique,Maize,2000,10757.000000000000000,0.347866505531282,3742.000000000000000,494956.1762066463,478.5306635196,34.8820890750,-21.8458552566
"19105",Inhassoro,MOZ,Mozambique,Maize,2000,10757.000000000000000,0.347866505531282,3742.000000000000000,494956.1762066463,478.5306635196,34.9788089071,-21.8447227729
"19106",Inhassoro,MOZ,Mozambique,Maize,2000,10757.000000000000000,0.347866505531282,3742.000000000000000,494956.1762066463,478.5306635196,35.0755222892,-21.8435336338
"19240",Inhassoro,MOZ,Mozambique,Maize,2000,10757.000000000000000,0.347866505531282,3742.000000000000000,494956.1762066463,478.5306635196,34.5928971788,-21.9392244036
"19241",Inhassoro,MOZ,Mozambique,Maize,2000,10757.000000000000000,0.347866505531282,3742.000000000000000,494956.1762066463,478.5306635196,34.6896953640,-21.9382575941
"19242",Inhassoro,MOZ,Mozambique,Maize,2000,10757.000000000000000,0.347866505531282,3742.000000000000000,494956.1762066463,478.5306635196,34.7864880279,-21.9372338278
"19243",Inhassoro,MOZ,Mozambique,Maize,2000,10757.000000000000000,0.347866505531282,3742.000000000000000,494956.1762066463,478.5306635196,34.8832748548,-21.9361531185
"19244",Inhassoro,MOZ,Mozambique,Maize,2000,10757.000000000000000,0.347866505531282,3742.000000000000000,494956.1762066463,478.5306635196,34.9800555289,-21.9350154807
"19245",Inhassoro,MOZ,Mozambique,Maize,2000,10757.000000000000000,0.347866505531282,3742.000000000000000,494956.1762066463,478.5306635196,35.0768297349,-21.9338209298
"19379",Inhassoro,MOZ,Mozambique,Maize,2000,10757.000000000000000,0.347866505531282,3742.000000000000000,494956.1762066463,478.5306635196,34.5939055369,-22.0295351449
"19380",Inhassoro,MOZ,Mozambique,Maize,2000,10757.000000000000000,0.347866505531282,3742.000000000000000,494956.1762066463,478.5306635196,34.6907649296,-22.0285639497
"19381",Inhassoro,MOZ,Mozambique,Maize,2000,10757.000000000000000,0.347866505531282,3742.000000000000000,494956.1762066463,478.5306635196,34.7876187852,-22.0275355394
"19382",Inhassoro,MOZ,Mozambique,Maize,2000,10757.000000000000000,0.347866505531282,3742.000000000000000,494956.1762066463,478.5306635196,34.8844667872,-22.0264499278
"19383",Inhassoro,MOZ,Mozambique,Maize,2000,10757.000000000000000,0.347866505531282,3742.000000000000000,494956.1762066463,478.5306635196,34.9813086190,-22.0253071297
"19518",Inhassoro,MOZ,Mozambique,Maize,2000,10757.000000000000000,0.347866505531282,3742.000000000000000,494956.1762066463,478.5306635196,34.5949191154,-22.1198448470
"19657",Vilanculos,MOZ,Mozambique,Maize,2000,13958.000000000000000,0.943831494483450,13174.000000000000000,569327.8820174766,517.2973334971,34.5959379290,-22.2101535067
"19658",Vilanculos,MOZ,Mozambique,Maize,2000,13958.000000000000000,0.943831494483450,13174.000000000000000,569327.8820174766,517.2973334971,34.6929206877,-22.2091735239
"19659",Vilanculos,MOZ,Mozambique,Maize,2000,13958.000000000000000,0.943831494483450,13174.000000000000000,569327.8820174766,517.2973334971,34.7898978777,-22.2081358085
"19660",Vilanculos,MOZ,Mozambique,Maize,2000,13958.000000000000000,0.943831494483450,13174.000000000000000,569327.8820174766,517.2973334971,34.8868691804,-22.2070403744
"19796",Vilanculos,MOZ,Mozambique,Maize,2000,13958.000000000000000,0.943831494483450,13174.000000000000000,569327.8820174766,517.2973334971,34.5969619930,-22.3004611203
"19797",Vilanculos,MOZ,Mozambique,Maize,2000,13958.000000000000000,0.943831494483450,13174.000000000000000,569327.8820174766,517.2973334971,34.6940069121,-22.2994767356
"19798",Vilanculos,MOZ,Mozambique,Maize,2000,13958.000000000000000,0.943831494483450,13174.000000000000000,569327.8820174766,517.2973334971,34.7910462463,-22.2984343590
"19799",Vilanculos,MOZ,Mozambique,Maize,2000,13958.000000000000000,0.943831494483450,13174.000000000000000,569327.8820174766,517.2973334971,34.8880796765,-22.2973340045
"19107",Vilanculos,MOZ,Mozambique,Maize,2000,13958.000000000000000,0.943831494483450,13174.000000000000000,569327.8820174766,517.2973334971,35.1722289069,-21.8422878553
