uid,BASICA_AREA,Zone,total_volume_prod,geometry
348.0,0.30399999999999999,36.0,300,POINT (30.75804439023656 -15.5601141654974)
349.0,0.84,36.0,500,POINT (30.76276159775862 -15.55828289110159)
350.0,0.28799999999999998,36.0,250,POINT (30.7609756473042 -15.56312548012746)
352.0,0.52800000000000002,36.0,500,POINT (30.75842391078754 -15.5594946265512)
353.0,0.74,36.0,400,POINT (30.75225547164332 -15.57564918127997)
357.0,0.60719999999999996,36.0,1100,POINT (30.75040742139339 -15.57416666282573)
358.0,0.26319999999999999,36.0,NA,POINT (30.75742452490836 -15.56055055988187)
359.0,0.41399999999999998,36.0,750,POINT (30.75686016446863 -15.56016535019596)
362.0,0.26,36.0,300,POINT (30.75916521368395 -15.55903235982019)
363.0,0.3,36.0,NA,POINT (30.76369151628505 -15.55761472170715)
365.0,0.55200000000000005,36.0,600,POINT (30.76717973587717 -15.54355571633869)
368.0,0.3,36.0,300,POINT (30.76777828883471 -15.54249566288378)
370.0,0.36,36.0,550,POINT (30.76710631457307 -15.54172089337508)
375.0,0.63619999999999999,36.0,1040,POINT (30.76816438220541 -15.54039444506635)
379.0,1.45,36.0,1640,POINT (30.76721742724663 -15.54265261076631)
382.0,0.186,36.0,200,POINT (30.76855157177193 -15.54078686408689)
384.0,0.432,36.0,750,POINT (30.76606164247175 -15.54266800612507)
387.0,0.2,36.0,250,POINT (30.76762566707824 -15.54022636333494)
390.0,1.1599999999999999,36.0,900,POINT (30.767668146857 -15.54147360652771)
393.0,0.46,36.0,500,POINT (30.76682335328124 -15.5420342477971)
396.0,0.32400000000000001,36.0,300,POINT (30.63647880980852 -15.58754451218049)
400.0,0.5,36.0,400,POINT (30.63618046160228 -15.58673726729974)
404.0,0.81599999999999995,36.0,600,POINT (30.63238769487123 -15.58992163549016)
406.0,0.29399999999999998,36.0,1150,POINT (30.64270670454345 -15.58903877135756)
411.0,0.747,36.0,200,POINT (30.64106384762982 -15.58924700358207)
416.0,0.44,36.0,220,POINT (30.64396712759225 -15.59048871572718)
419.0,0.58799999999999997,36.0,2600,POINT (30.63644607923848 -15.58714665860253)
424.0,0.12,36.0,150,POINT (30.63620180458148 -15.58731568100516)
429.0,0.156,36.0,150,POINT (30.63584102669721 -15.58707691467488)
431.0,0.18,36.0,270,POINT (50.95866867625335 -14.87142659214796)
436.0,0.72,36.0,1100,POINT (30.60214620987932 -15.58551954924743)
437.0,0.45,36.0,250,POINT (30.602328809997 -15.58665078271852)
440.0,0.17599999999999999,36.0,100,POINT (30.60180117097706 -15.58633787446055)
444.0,0.41720000000000002,36.0,1200,POINT (-57.45307118629797 -87.69730570316823)
449.0,9.0999999999999998E-2,36.0,100,POINT (30.60173137603703 -15.58351852523764)
452.0,0.73140000000000005,36.0,120,POINT (30.60140869277643 -15.58722795265641)
454.0,0.45,36.0,250,POINT (30.60121643004495 -15.58773175523936)
460.0,0.72,36.0,100,POINT (30.6024819722431 -15.58871219077797)
465.0,0.36,36.0,250,POINT (30.60323727914733 -15.5878802698434)
470.0,0.26,36.0,200,POINT (30.60195465735299 -15.58756816374196)
475.0,0.32,36.0,50,POINT (30.48786966096624 -15.62089162043491)
476.0,0.49,36.0,500,POINT (30.4992708697461 -15.62387638046613)
479.0,0.33,36.0,300,POINT (30.50304707921746 -15.62072158967001)
484.0,0.41160000000000002,36.0,150,POINT (30.50302177982306 -15.62204016921792)
488.0,0.39,36.0,NA,POINT (30.50312618072215 -15.62265562432576)
491.0,0.58799999999999997,36.0,300,POINT (30.50130443880041 -15.62221935194212)
495.0,0.31359999999999999,36.0,NA,POINT (30.49924663611999 -15.62356897153598)
498.0,0.36399999999999999,36.0,600,POINT (30.49941164826734 -15.6207253575909)
501.0,0.55659999999999998,36.0,350,POINT (30.49877349194441 -15.622615080107)
503.0,0.20399999999999999,36.0,300,POINT (30.50259379746238 -15.62120423134865)
506.0,0.14000000000000001,36.0,125,POINT (30.38747296653436 -15.56115149219752)
510.0,0.24,36.0,350,POINT (30.3880637622945 -15.56159207045751)
515.0,0.13200000000000001,36.0,175,POINT (30.38739839755222 -15.56189128691778)
519.0,0.62,36.0,200,POINT (30.38622388450517 -15.56045018418905)
521.0,0.38,36.0,150,POINT (30.38565438616983 -15.56127442825999)
522.0,0.48,36.0,100,POINT (30.38664796386793 -15.56154817153617)
526.0,0.82799999999999996,36.0,1500,POINT (30.38651574298931 -15.56095044567342)
530.0,0.4,36.0,1500,POINT (30.38656650818168 -15.55914451358158)
533.0,0.25,36.0,200,POINT (30.38608611354066 -15.55955431428019)
535.0,0.4,36.0,300,POINT (30.38682052944095 -15.5596894888464)
538.0,0.13719999999999999,36.0,500,POINT (34.44983430445075 -15.35670244689533)
541.0,0.51800000000000002,36.0,700,POINT (34.44853022628624 -15.36209783505358)
544.0,0.92079999999999995,36.0,NA,POINT (34.45241974939005 -15.35880964689193)
546.0,0.1474,36.0,300,POINT (34.4623690592618 -15.35763286932863)
550.0,1.0096000000000001,36.0,1600,POINT (34.45501810379515 -15.3466450597771)
553.0,0.72,36.0,1400,POINT (34.46257986923813 -15.35313036576282)
557.0,0.216,36.0,400,POINT (34.44712486911342 -15.35011294583242)
561.0,0.89500000000000002,36.0,1800,POINT (34.44382395839198 -15.35636184155479)
563.0,0.4632,36.0,870,POINT (34.4425118185414 -15.34705167703383)
