Pixel,State,lon,lat,Crop,Fraction,MaizeArea
263,Ribaue,38.02575,-14.849910000000001,Maize,1.83840949,183.84094900000002
264,Ribaue,38.109390000000005,-14.85025,Maize,0.20851323,20.851323
265,Ribaue,38.17445,-14.850489999999999,Maize,0.7272724,72.72724000000001
266,Ribaue,38.37893,-14.85113,Maize,0.00015251,0.015250999999999999
267,Ribaue,37.90488,-14.8584,Maize,1.68469819,168.469819
268,Ribaue,37.92347,-14.85849,Maize,1.68227721,168.227721
269,Ribaue,37.93277,-14.85854,Maize,1.21252304,121.252304
270,Ribaue,37.96994,-14.85871,Maize,0.12035973,12.035973
271,Ribaue,38.02571,-14.85895,Maize,1.72516757,172.51675699999998
272,Ribaue,38.08147,-14.859179999999999,Maize,0.19350619,19.350619
273,Ribaue,38.369609999999994,-14.86015,Maize,0.14912864,14.912864
274,Ribaue,38.3975,-14.860220000000002,Maize,1.762245,176.2245
275,Ribaue,38.416090000000004,-14.860270000000002,Maize,0.8889906,88.89905999999999
276,Ribaue,38.47186,-14.86041,Maize,0.00036074,0.036074
277,Ribaue,37.90484,-14.86744,Maize,0.45577827,45.577827
278,Ribaue,37.923429999999996,-14.867529999999999,Maize,0.35469766,35.469766
279,Ribaue,37.95131,-14.86766,Maize,1.4081958,140.81958
280,Ribaue,37.960609999999996,-14.8677,Maize,0.45702644,45.702644
281,Ribaue,38.02567,-14.867989999999999,Maize,0.01103681,1.103681
282,Ribaue,38.08144,-14.86822,Maize,9e-07,8.999999999999999e-05
283,Ribaue,38.09073,-14.868260000000001,Maize,0.49481592,49.481592
284,Ribaue,38.109320000000004,-14.868329999999998,Maize,0.00671955,0.6719550000000001
285,Ribaue,38.15579,-14.8685,Maize,0.01261166,1.261166
286,Ribaue,38.183679999999995,-14.86861,Maize,0.64583102,64.583102
287,Ribaue,38.45325,-14.86941,Maize,0.79938546,79.938546
288,Ribaue,38.47184,-14.86945,Maize,1.42909299,142.909299
289,Ribaue,37.92338,-14.876570000000001,Maize,1.12397152,112.397152
290,Ribaue,37.96986,-14.87679,Maize,0.28932654,28.932654000000003
291,Ribaue,38.03492,-14.877070000000002,Maize,1.8423203,184.23202999999998
292,Ribaue,38.09069,-14.8773,Maize,0.00248821,0.248821
293,Ribaue,38.36026,-14.878210000000001,Maize,0.13869846,13.869845999999999
294,Ribaue,37.9977,-14.88595,Maize,1.59445965,159.445965
295,Ribaue,38.02559,-14.886070000000002,Maize,3.982e-05,0.003982
296,Ribaue,38.41601,-14.8874,Maize,0.03546328,3.546328
297,Ribaue,37.92329,-14.89465,Maize,1.52798916,152.798916
298,Ribaue,37.96048,-14.894820000000001,Maize,1.202e-05,0.001202
299,Ribaue,37.98836,-14.89495,Maize,0.91439068,91.439068
300,Ribaue,38.09062,-14.89538,Maize,0.00222661,0.222661
301,Ribaue,38.099909999999994,-14.89541,Maize,0.4096694,40.96694
302,Ribaue,38.10921,-14.89545,Maize,0.00811486,0.8114859999999999
303,Ribaue,38.3974,-14.89639,Maize,0.00972274,0.9722740000000001
304,Ribaue,38.425290000000004,-14.896460000000001,Maize,1.20029353,120.029353
305,Ribaue,37.84888,-14.903329999999999,Maize,0.04910482,4.910482
306,Ribaue,37.95114,-14.903820000000001,Maize,0.00520152,0.5201520000000001
307,Ribaue,38.0255,-14.90415,Maize,2e-08,2e-06
308,Ribaue,38.46245,-14.90559,Maize,0.01878449,1.878449
309,Ribaue,37.95109,-14.91286,Maize,0.0,0.0
310,Ribaue,38.06265,-14.91334,Maize,0.00021465,0.021465
311,Ribaue,38.090540000000004,-14.91346,Maize,0.17977416,17.977415999999998
312,Ribaue,38.33226,-14.91429,Maize,0.00192531,0.192531
313,Ribaue,38.38805,-14.91445,Maize,0.93782678,93.782678
314,Ribaue,38.45313,-14.91461,Maize,1.6985275,169.85275
315,Ribaue,37.86738,-14.9215,Maize,0.21603087,21.603087000000002
316,Ribaue,37.88597,-14.92159,Maize,0.66889069,66.889069
317,Ribaue,37.90457,-14.921679999999999,Maize,0.27371064,27.371064
318,Ribaue,37.969640000000005,-14.92198,Maize,0.21975164,21.975164
319,Ribaue,38.053309999999996,-14.92235,Maize,1.5e-06,0.00015000000000000001
320,Ribaue,38.0998,-14.922529999999998,Maize,0.0002785,0.02785
321,Ribaue,38.118390000000005,-14.92261,Maize,0.00722104,0.722104
322,Ribaue,38.30434,-14.92325,Maize,0.0,0.0
323,Ribaue,38.34153,-14.92336,Maize,1.23280054,123.28005399999999
324,Ribaue,38.388020000000004,-14.92349,Maize,0.04215045,4.215045
325,Ribaue,38.4903,-14.923739999999999,Maize,0.47961129,47.961129
326,Ribaue,37.85803,-14.930489999999999,Maize,1.28725023,128.725023
327,Ribaue,37.867329999999995,-14.930539999999999,Maize,0.11492982,11.492982
328,Ribaue,37.87663,-14.930589999999999,Maize,1.41956753,141.956753
329,Ribaue,37.92311,-14.930810000000001,Maize,0.44047721,44.047721
330,Ribaue,37.93241,-14.93085,Maize,1.22250791,122.250791
331,Ribaue,37.951,-14.93094,Maize,1.78292184,178.292184
332,Ribaue,37.9696,-14.931020000000002,Maize,0.0,0.0
333,Ribaue,37.9789,-14.931070000000002,Maize,0.0,0.0
334,Ribaue,38.02538,-14.931270000000001,Maize,0.0,0.0
335,Ribaue,38.03468,-14.93131,Maize,0.82006263,82.006263
336,Ribaue,38.04398,-14.93135,Maize,0.80668879,80.668879
337,Ribaue,38.05327,-14.931389999999999,Maize,0.01482954,1.482954
338,Ribaue,38.06257,-14.931420000000001,Maize,1.80048311,180.048311
339,Ribaue,38.19274,-14.931920000000002,Maize,0.00103644,0.103644
340,Ribaue,38.30431,-14.93229,Maize,0.06128928,6.128928
341,Ribaue,38.31361,-14.93232,Maize,1.77542239,177.542239
342,Ribaue,38.32291,-14.93234,Maize,0.07912274,7.912274
343,Ribaue,38.350809999999996,-14.93242,Maize,0.02078945,2.078945
344,Ribaue,38.3694,-14.932479999999998,Maize,1.7280585,172.80585
345,Ribaue,38.388,-14.932529999999998,Maize,0.00112458,0.112458
346,Ribaue,38.45309,-14.93269,Maize,1.40780691,140.780691
347,Ribaue,38.462379999999996,-14.93271,Maize,0.01089645,1.089645
348,Ribaue,37.87658,-14.93963,Maize,1.74919415,174.919415
349,Ribaue,37.895179999999996,-14.939720000000001,Maize,0.22113447,22.113447
350,Ribaue,37.90447,-14.93976,Maize,0.43551315,43.551315
351,Ribaue,37.93237,-14.93989,Maize,1.74031878,174.031878
352,Ribaue,37.97885,-14.94011,Maize,0.0,0.0
353,Ribaue,38.02534,-14.94031,Maize,0.0,0.0
354,Ribaue,38.03464,-14.94035,Maize,0.00579115,0.579115
355,Ribaue,38.05324,-14.94043,Maize,0.92300042,92.300042
356,Ribaue,38.062529999999995,-14.94046,Maize,0.2845272,28.45272
357,Ribaue,38.07183,-14.9405,Maize,0.18675762,18.675762000000002
358,Ribaue,38.09972,-14.940610000000001,Maize,0.01854302,1.8543020000000001
359,Ribaue,38.2206,-14.94106,Maize,0.0,0.0
