Unnamed: 0,State,lon,lat,Crop,Fraction,harv_area,sw_depth,sw_dist,sw_suit,geometry,country,curr_yield,max_yield
37167,Tsangano,34.52735,-14.75436,Maize,1.48952409,148.95240899999996,1219.0,15.08778738774123,9999,POINT (18183.33047010232 8364046.091039918),moz,4500,6000
32215,Mavago,36.030559999999994,-12.466569999999999,Maize,1.4400000000000001e-05,0.00144,703.0,18.315176171748885,9999,POINT (177184.0914708984 8620046.108016567),moz,4500,6000
11811,Angonia,34.44512,-14.69865,Maize,0.00037311,0.037311000000000004,1219.0,8.109070110405144,9999,POINT (9183.736154146434 8370046.393499617),moz,4500,6000
1936,Malema,36.995020000000004,-14.77094,Maize,0.04200475,4.200475,553.0,5.867745676291803,9999,POINT (284183.3496277152 8366045.784920087),moz,4500,6000
7852,Manhica,32.822759999999995,-25.06073,Maize,1.44585425,144.58542499999996,16.0,4.423768056392652,1,POINT (-123816.6360342167 7214046.64812154),moz,4500,6000
26981,Ile,37.14393,-15.79335,Maize,0.09376292,9.376292,533.0,3.715411899091444,1,POINT (301183.5093576935 8253046.194600585),moz,4500,6000
26290,Ile,37.28315,-15.88486,Maize,0.02176103,2.176103,448.0,16.627950246436743,9999,POINT (316183.1509622884 8243046.752161944),moz,4500,6000
22441,Alto_Molocue,37.725229999999996,-15.372710000000001,Maize,0.02136818,2.136818,586.0,18.173799944976896,9999,POINT (363183.20363145 8300046.41885417),moz,4500,6000
35403,Nampula,39.36479,-15.1862,Maize,0.68155814,68.155814,355.0,9.7810433137236,9999,POINT (539183.736731411 8321046.615517796),moz,4500,6000
14334,Morrumbala,35.57909,-17.25468,Maize,0.51487696,51.48769600000001,32.0,25.051596254517296,9999,POINT (136183.3131403954 8089046.296462427),moz,4500,6000
19283,Mecanhelas,35.88245,-15.3094,Maize,0.35045905,35.045905,633.0,0.7933924319231209,1,POINT (165183.7206147354 8305045.760810522),moz,4500,6000
14462,Morrumbala,35.68190999999999,-17.28349,Maize,0.53514097,53.51409700000001,32.0,36.43907642021536,9999,POINT (147183.5450474017 8086045.821761326),moz,4500,6000
38689,Machaze,32.78217,-20.848760000000002,Maize,0.00890541,0.890541,267.0,13.770573176399465,9999,POINT (-147816.3462567314 7682045.733638149),moz,4500,6000
2757,Maravia,31.573890000000002,-14.866710000000001,Maize,0.23336591,23.336591000000002,835.0,21.4632750598307,9999,POINT (-300816.2420273303 8343046.592324509),moz,4500,6000
31319,Gurue,37.31524,-15.388060000000001,Maize,0.00607911,0.607911,752.0,26.804313368590112,9999,POINT (319183.9595606563 8298046.541888677),moz,4500,6000
40619,Maganja_da_Cost,37.8829,-17.15419,Maize,0.14232943,14.232942999999999,14.0,13.107124313425153,9999,POINT (381183.661882157 8103045.907397371),moz,4500,6000
32681,Mopeia,35.70244000000001,-17.70808,Maize,0.18711103,18.711103,73.0,17.137486813487193,9999,POINT (150183.300700621 8039046.538615762),moz,4500,6000
