 Pixel        State             lon          lat     Crop    Fraction
328         Ribaue             37.87663  -14.93059  Maize    1.41956753
329         Ribaue             37.92311  -14.93081  Maize    0.44047721
330         Ribaue             37.93241  -14.93085  Maize    1.22250791
331         Ribaue             37.95100  -14.93094  Maize    1.78292184
332         Ribaue             37.96960  -14.93102  Maize    0.00000000
333         Ribaue             37.97890  -14.93107  Maize    0.00000000
334         Ribaue             38.02538  -14.93127  Maize    0.00000000
335         Ribaue             38.03468  -14.93131  Maize    0.82006263
336         Ribaue             38.04398  -14.93135  Maize    0.80668879
337         Ribaue             38.05327  -14.93139  Maize    0.01482954
338         Ribaue             38.06257  -14.93142  Maize    1.80048311
339         Ribaue             38.19274  -14.93192  Maize    0.00103644
340         Ribaue             38.30431  -14.93229  Maize    0.06128928
341         Ribaue             38.31361  -14.93232  Maize    1.77542239
342         Ribaue             38.32291  -14.93234  Maize    0.07912274
343         Ribaue             38.35081  -14.93242  Maize    0.02078945
344         Ribaue             38.36940  -14.93248  Maize    1.72805850
345         Ribaue             38.38800  -14.93253  Maize    0.00112458
346         Ribaue             38.45309  -14.93269  Maize    1.40780691
347         Ribaue             38.46238  -14.93271  Maize    0.01089645
348         Ribaue             37.87658  -14.93963  Maize    1.74919415
349         Ribaue             37.89518  -14.93972  Maize    0.22113447
350         Ribaue             37.90447  -14.93976  Maize    0.43551315
351         Ribaue             37.93237  -14.93989  Maize    1.74031878
352         Ribaue             37.97885  -14.94011  Maize    0.00000000
353         Ribaue             38.02534  -14.94031  Maize    0.00000000
354         Ribaue             38.03464  -14.94035  Maize    0.00579115
355         Ribaue             38.05324  -14.94043  Maize    0.92300042
356         Ribaue             38.06253  -14.94046  Maize    0.28452720
357         Ribaue             38.07183  -14.94050  Maize    0.18675762
358         Ribaue             38.09972  -14.94061  Maize    0.01854302
359         Ribaue             38.22060  -14.94106  Maize    0.00000000
360         Ribaue             38.28569  -14.94127  Maize    0.03228553
361         Ribaue             38.30429  -14.94133  Maize    1.45414052
362         Ribaue             38.47166  -14.94178  Maize    0.28215725
363         Ribaue             38.50886  -14.94186  Maize    0.06777649
364         Ribaue             37.85794  -14.94857  Maize    0.00276809
365         Ribaue             37.86724  -14.94862  Maize    0.01231287
366         Ribaue             37.91373  -14.94885  Maize    1.14608031
367         Ribaue             37.92302  -14.94889  Maize    1.10419079
368         Ribaue             37.94162  -14.94898  Maize    1.32112029
369         Ribaue             37.96951  -14.94910  Maize    0.04911241
370         Ribaue             38.02530  -14.94935  Maize    0.00000000
371         Ribaue             38.03460  -14.94939  Maize    0.00128396
372         Ribaue             38.04390  -14.94943  Maize    0.02709453
373         Ribaue             38.05320  -14.94947  Maize    0.34265355
374         Ribaue             38.08109  -14.94958  Maize    0.82376171
375         Ribaue             38.10899  -14.94969  Maize    1.70521484
376         Ribaue             38.23917  -14.95016  Maize    0.00000000
377         Ribaue             38.24846  -14.95019  Maize    0.00007143
378         Ribaue             38.28566  -14.95031  Maize    0.12741781
379         Ribaue             38.30426  -14.95037  Maize    1.12367717
380         Ribaue             38.31356  -14.95040  Maize    0.01235431
381         Ribaue             38.32285  -14.95042  Maize    1.35523626
382         Ribaue             38.34145  -14.95048  Maize    0.04715532
383         Ribaue             38.35075  -14.95051  Maize    0.12303592
384         Ribaue             38.40655  -14.95066  Maize    1.34191413
385         Ribaue             38.43444  -14.95073  Maize    0.09231956
386         Ribaue             38.69482  -14.95122  Maize    0.09880868
387         Ribaue             38.71342  -14.95125  Maize    0.89058049
388         Ribaue             37.88579  -14.95775  Maize    1.05155670
389         Ribaue             37.90438  -14.95784  Maize    0.25353927
390         Ribaue             37.95087  -14.95806  Maize    0.00000000
391         Ribaue             37.96017  -14.95810  Maize    0.00000000
392         Ribaue             37.96947  -14.95814  Maize    0.00000000
393         Ribaue             38.01596  -14.95835  Maize    0.00000000
394         Ribaue             38.03456  -14.95843  Maize    1.47041976
395         Ribaue             38.04386  -14.95847  Maize    0.01844799
396         Ribaue             38.05316  -14.95851  Maize    0.00349418
397         Ribaue             38.06245  -14.95854  Maize    0.25798187
398         Ribaue             38.09035  -14.95866  Maize    1.78703596
399         Ribaue             38.09965  -14.95869  Maize    0.15390662
400         Ribaue             38.21124  -14.95911  Maize    0.00001424
401         Ribaue             38.23913  -14.95920  Maize    1.72070083
402         Ribaue             38.31353  -14.95944  Maize    0.16207524
403         Ribaue             38.34142  -14.95952  Maize    0.15304237
404         Ribaue             38.35072  -14.95955  Maize    0.11033140
405         Ribaue             38.36002  -14.95957  Maize    0.24674308
406         Ribaue             38.36932  -14.95960  Maize    1.63636544
407         Ribaue             38.49952  -14.95992  Maize    0.00000000
408         Ribaue             37.90434  -14.96688  Maize    0.43937921
409         Ribaue             37.92293  -14.96697  Maize    0.75207295
410         Ribaue             37.96943  -14.96718  Maize    0.00020946
411         Ribaue             37.97873  -14.96723  Maize    0.00016400
412         Ribaue             37.98802  -14.96727  Maize    0.00003522
413         Ribaue             37.99732  -14.96731  Maize    0.01717266
414         Ribaue             38.02522  -14.96743  Maize    0.02091551
415         Ribaue             38.03452  -14.96747  Maize    0.38398453
416         Ribaue             38.05312  -14.96755  Maize    0.15657209
417         Ribaue             38.06242  -14.96758  Maize    0.45809649
418         Ribaue             38.07171  -14.96762  Maize    0.00020770
419         Ribaue             38.09031  -14.96770  Maize    0.00706178
420         Ribaue             38.09961  -14.96773  Maize    0.57093961
421         Ribaue             38.10891  -14.96777  Maize    0.08126908
422         Ribaue             38.17401  -14.96802  Maize    0.01075086
423         Ribaue             38.23910  -14.96824  Maize    0.01263142
424         Ribaue             38.25770  -14.96830  Maize    0.10644788
425         Ribaue             38.31350  -14.96848  Maize    1.66386388
426         Ribaue             38.32280  -14.96851  Maize    0.01220963
427         Ribaue             38.33210  -14.96853  Maize    0.01656474
428         Ribaue             38.35070  -14.96859  Maize    0.16956827
429         Ribaue             38.37860  -14.96866  Maize    0.03249224
430         Ribaue             38.38790  -14.96869  Maize    0.01422933
431         Ribaue             38.40650  -14.96874  Maize    0.30795344
432         Ribaue             38.53669  -14.96904  Maize    0.00000000
433         Ribaue             38.55529  -14.96908  Maize    1.36091111
434         Ribaue             38.63900  -14.96923  Maize    1.66099734
435         Ribaue             37.86709  -14.97574  Maize    0.00000000
436         Ribaue             37.88569  -14.97583  Maize    0.01300855
437         Ribaue             37.96938  -14.97622  Maize    0.75443873
438         Ribaue             37.98798  -14.97631  Maize    0.82747178
439         Ribaue             37.99728  -14.97635  Maize    0.97773936
440         Ribaue             38.00658  -14.97639  Maize    0.03432581
441         Ribaue             38.01588  -14.97643  Maize    0.79079315
442         Ribaue             38.03448  -14.97651  Maize    0.00687793
443         Ribaue             38.04378  -14.97655  Maize    0.07192734
444         Ribaue             38.05308  -14.97659  Maize    1.84199244
445         Ribaue             38.06238  -14.97662  Maize    0.06687075
446         Ribaue             38.07168  -14.97666  Maize    1.09764629
447         Ribaue             38.08097  -14.97670  Maize    0.37478383
448         Ribaue             38.09027  -14.97674  Maize    0.00025618
449         Ribaue             38.09957  -14.97677  Maize    0.00348361
450         Ribaue             38.10887  -14.97681  Maize    0.22743990
451         Ribaue             38.18327  -14.97709  Maize    0.02665905
452         Ribaue             38.22977  -14.97725  Maize    0.00028034
453         Ribaue             38.28557  -14.97743  Maize    0.01191105
454         Ribaue             38.33207  -14.97757  Maize    0.07026468
455         Ribaue             38.39717  -14.97776  Maize    0.83459640
456         Ribaue             38.49017  -14.97798  Maize    1.83553725
457         Ribaue             38.51807  -14.97804  Maize    0.06419523
458         Ribaue             38.64828  -14.97828  Maize    0.00038458
459         Ribaue             38.69478  -14.97835  Maize    0.00783706
460         Ribaue             38.72269  -14.97838  Maize    0.18921415
461         Ribaue             37.81125  -14.98449  Maize    0.00000000
462         Ribaue             37.84845  -14.98468  Maize    0.02307710
463         Ribaue             37.85775  -14.98473  Maize    0.00001428
464         Ribaue             37.89494  -14.98491  Maize    0.00015401
465         Ribaue             37.90424  -14.98496  Maize    0.03370221
466         Ribaue             37.94144  -14.98514  Maize    0.34879209
467         Ribaue             37.95074  -14.98518  Maize    0.27901043
468         Ribaue             37.99724  -14.98539  Maize    0.07829592
469         Ribaue             38.00654  -14.98543  Maize    0.00188994
470         Ribaue             38.02514  -14.98551  Maize    0.64432318
471         Ribaue             38.03444  -14.98555  Maize    0.14227489
472         Ribaue             38.04374  -14.98559  Maize    0.89694471
473         Ribaue             38.05304  -14.98563  Maize    0.35796593
474         Ribaue             38.06234  -14.98566  Maize    0.14463385
475         Ribaue             38.07164  -14.98570  Maize    0.00000035
476         Ribaue             38.08094  -14.98574  Maize    0.00875154
477         Ribaue             38.09024  -14.98578  Maize    0.00251909
478         Ribaue             38.21114  -14.98623  Maize    0.07622037
479         Ribaue             38.30414  -14.98653  Maize    0.04756954
480         Ribaue             38.33204  -14.98661  Maize    0.00084713
481         Ribaue             38.34134  -14.98664  Maize    1.26959364
482         Ribaue             38.53666  -14.98712  Maize    0.00026726
483         Ribaue             38.71337  -14.98741  Maize    0.97109317
484         Ribaue             38.72267  -14.98742  Maize    0.09450019
485         Ribaue             37.81120  -14.99353  Maize    0.00013470
486         Ribaue             37.88560  -14.99391  Maize    0.00436807
487         Ribaue             37.89490  -14.99395  Maize    1.12884497
488         Ribaue             37.95070  -14.99422  Maize    0.01022470
489         Ribaue             38.01580  -14.99451  Maize    0.00003912
490         Ribaue             38.02510  -14.99455  Maize    0.02099610
491         Ribaue             38.04370  -14.99463  Maize    1.68279436
