"CONTINENT_CODE","CONTINENT_NAME","COUNTRY_CODE","COUNTRY_NAME","AREA_CODE","AREA_NAME","ADMIN_LEVEL","ITEM_CODE","ITEM_NAME","YEAR","AEREA_HARVESTED","YIELD","PRODUCTION"
"AFR","All African countries","MOZ","Mozambique","MOZ002","Gaza","1","242","Groundnuts in Shell","2008","22100.0","","2380.0"
"AFR","All African countries","MOZ","Mozambique","MOZ002","Gaza","1","242","Groundnuts in Shell","Most recent","22100.0","","2380.0"
"AFR","All African countries","MOZ","Mozambique","MOZ002","Gaza","1","267","Sunflower Seed","2000","170.0","",""
"AFR","All African countries","MOZ","Mozambique","MOZ002","Gaza","1","267","Sunflower Seed","2002","","","1.0"
"AFR","All African countries","MOZ","Mozambique","MOZ002","Gaza","1","267","Sunflower Seed","2003","","","74.0"
"AFR","All African countries","MOZ","Mozambique","MOZ002","Gaza","1","267","Sunflower Seed","2005","","",""
"AFR","All African countries","MOZ","Mozambique","MOZ002","Gaza","1","267","Sunflower Seed","2006","","",""
"AFR","All African countries","MOZ","Mozambique","MOZ002","Gaza","1","267","Sunflower Seed","2007","","",""
"AFR","All African countries","MOZ","Mozambique","MOZ002","Gaza","1","267","Sunflower Seed","2008","","","1.0"
"AFR","All African countries","MOZ","Mozambique","MOZ002","Gaza","1","267","Sunflower Seed","Most recent","","","1.0"
"AFR","All African countries","MOZ","Mozambique","MOZ002","Gaza","1","27","Rice, Paddy","1999","5820.0","2.72","15824.0"
"AFR","All African countries","MOZ","Mozambique","MOZ002","Gaza","1","27","Rice, Paddy","2000","5376.0","",""
"AFR","All African countries","MOZ","Mozambique","MOZ002","Gaza","1","27","Rice, Paddy","2002","12200.0","","7300.0"
"AFR","All African countries","MOZ","Mozambique","MOZ002","Gaza","1","27","Rice, Paddy","2003","","","4700.0"
"AFR","All African countries","MOZ","Mozambique","MOZ002","Gaza","1","27","Rice, Paddy","2005","12700.0","","9800.0"
"AFR","All African countries","MOZ","Mozambique","MOZ002","Gaza","1","27","Rice, Paddy","2006","5900.0","","1300.0"
"AFR","All African countries","MOZ","Mozambique","MOZ002","Gaza","1","27","Rice, Paddy","2007","5600.0","","2100.0"
"AFR","All African countries","MOZ","Mozambique","MOZ002","Gaza","1","27","Rice, Paddy","2008","7400.0","","2400.0"
"AFR","All African countries","MOZ","Mozambique","MOZ002","Gaza","1","27","Rice, Paddy","Most recent","7400.0","","2400.0"
"AFR","All African countries","MOZ","Mozambique","MOZ002","Gaza","1","289","Sesame Seed","2000","1.0","",""
"AFR","All African countries","MOZ","Mozambique","MOZ002","Gaza","1","289","Sesame Seed","2002","","",""
"AFR","All African countries","MOZ","Mozambique","MOZ002","Gaza","1","289","Sesame Seed","2003","","",""
"AFR","All African countries","MOZ","Mozambique","MOZ002","Gaza","1","289","Sesame Seed","2005","","",""
"AFR","All African countries","MOZ","Mozambique","MOZ002","Gaza","1","289","Sesame Seed","2006","","",""
"AFR","All African countries","MOZ","Mozambique","MOZ002","Gaza","1","289","Sesame Seed","2007","","",""
"AFR","All African countries","MOZ","Mozambique","MOZ002","Gaza","1","289","Sesame Seed","2008","","",""
"AFR","All African countries","MOZ","Mozambique","MOZ002","Gaza","1","289","Sesame Seed","Most recent","","",""
"AFR","All African countries","MOZ","Mozambique","MOZ002","Gaza","1","328","Seed Cotton","1999","3435.0","0.71","2434.0"
"AFR","All African countries","MOZ","Mozambique","MOZ002","Gaza","1","328","Seed Cotton","2000","182.0","",""
"AFR","All African countries","MOZ","Mozambique","MOZ002","Gaza","1","328","Seed Cotton","2002","0.0","",""
"AFR","All African countries","MOZ","Mozambique","MOZ002","Gaza","1","328","Seed Cotton","2003","136.0","","34.0"
"AFR","All African countries","MOZ","Mozambique","MOZ002","Gaza","1","328","Seed Cotton","2005","","",""
"AFR","All African countries","MOZ","Mozambique","MOZ002","Gaza","1","328","Seed Cotton","2006","","",""
"AFR","All African countries","MOZ","Mozambique","MOZ002","Gaza","1","328","Seed Cotton","2007","82.0","","20.0"
"AFR","All African countries","MOZ","Mozambique","MOZ002","Gaza","1","328","Seed Cotton","2008","","",""
"AFR","All African countries","MOZ","Mozambique","MOZ002","Gaza","1","328","Seed Cotton","Most recent","","",""
"AFR","All African countries","MOZ","Mozambique","MOZ002","Gaza","1","358","Cabbages","2000","1268.0","",""
"AFR","All African countries","MOZ","Mozambique","MOZ002","Gaza","1","358","Cabbages","Most recent","1268.0","",""
"AFR","All African countries","MOZ","Mozambique","MOZ002","Gaza","1","372","Lettuce","2000","1275.0","",""
"AFR","All African countries","MOZ","Mozambique","MOZ002","Gaza","1","372","Lettuce","Most recent","1275.0","",""
"AFR","All African countries","MOZ","Mozambique","MOZ002","Gaza","1","388","Tomatoes","2000","2340.0","",""
